make bed,make,bed,none,1,chore_list8.org
empty dishwasher,empty,dishwasher,none,1,chore_list8.org
fold laundry,fold,laundry,none,1,chore_list8.org
put laundry away,put,laundry,none,1,chore_list8.org
dust room,dust,room,none,1,chore_list8.org
sweep kitchen floor,sweep,kitchen floor,none,1,chore_list8.org
sweep bathroom floor,sweep,bathroom floor,none,1,chore_list8.org
clean bathroom counter,clean,bathroom counter,none,1,chore_list8.org
pick up toys,pick,toys,none,1,chore_list8.org
help dinner preparation,help,dinner preparation,none,1,chore_list8.org
clear table,clean,table,none,1,chore_list8.org
wash table,wash,table,none,1,chore_list8.org
empty bathroom trash cans,empty,bathroom trash cans,none,1,chore_list8.org
feed dog,feed,dog,none,1,chore_list8.org
wash counter,wash,counter,none,1,chore_list8.org
pick up toys,pick,toys,none,1,chore_list8.org
help with lunch preparation,help,lunch preparation,none,1,chore_list8.org
set table,set,table,none,1,chore_list8.org
wash front of dishwasher,wash,dishwasher,none,1,chore_list8.org
wash front of refrigerator,wash,fridge,none,1,chore_list8.org
wash front of oven,wash,over,none,1,chore_list8.org
help with breakfast preparation,help,breakfast preparation,none,1,chore_list8.org
vacuum kitchen,vacuum,kitchen,none,1,chore_list5.org
empty trash,empty,trash,none,1,chore_list5.org
clean bathroom,clean,bathroom,none,1,chore_list5.org
empty dishwasher,empty,dishwasher,none,1,chore_list5.org
sort laundry,sort,laundry,none,1,chore_list5.org
feed pet,feed,pet,none,1,chore_list5.org
stock napkins,stock,napkins,none,1,chore_list5.org
water plants,water,plants,none,1,chore_list5.org
tidy library books,tidy,library books,none,1,chore_list5.org
prepare breakfast,prepare,breakfast,none,1,chore_list5.org
straighten books,straighten,books,none,1,chore_list5.org
tidy videos,tidy,videos,none,1,chore_list5.org
tidy school drawers,tidy,school drawers,none,1,chore_list5.org
vacuum living room,vacuum,living room,none,1,chore_list5.org
vacuum hall,vacuum,hall,none,1,chore_list5.org
organize bathroom drawers,organize,bathroom drawers,none,1,chore_list5.org
organize shoe basket,organize,shoe basket,none,1,chore_list5.org
make lunch,make,lunch,none,1,chore_list5.org
pick up toys,pick,toys,none,1,chore_list4.org
put dirty clothes in hamper,put,dirty clothes,none,1,chore_list4.org
dust furniture,dust,furniture,none,1,chore_list4.org
make bed,make,bed,none,1,chore_list4.org
put clean laundry away,put,clean laundry,none,1,chore_list4.org
wipe window sills,wipe,window sills,none,1,chore_list4.org
empty small trash cans,empty,small trash cans,none,1,chore_list4.org
make lunch,make,lunch,none,1,chore_list4.org
fold clothes,fold,clothes,none,1,chore_list4.org
vacuum,vacuum,none,none,1,chore_list4.org
wipe bathroom sink,wipe,bathroom sink,none,1,chore_list4.org
do laundry,do,laundry,none,1,chore_list4.org
assist cooking,assist,cooking,none,1,chore_list4.org
take out the trash,take,trash,none,1,chore_list4.org
clean the shower,clean,shower,none,1,chore_list4.org
clean the tub,clean,tub,none,1,chore_list4.org
unload the dishwasher,unload,dishwasher,none,1,chore_list4.org
do the dishes,do,dishes,none,1,chore_list4.org
clean up breakfast,clean,breakfast,none,1,chore_list6.org
make breakfast,make,breakfast,none,1,chore_list6.org
clean up bathroom sink,clean,bathroom sink,none,1,chore_list6.org
make lunch,make,lunch,none,1,chore_list6.org
